model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008
,,,,,,,,,,,,,ASTON MARTIN V8 Vantage,4.3,8.0,Auto-S6,2WD,Gasoline,small car,6.0,13.0,20.0,15.0,3.0,no
,,,,,,,,,,,,,AUDI A3,2.0,4.0,Man-6,2WD,Gasoline,station wagon,7.0,21.0,29.0,24.0,7.0,yes
,,,,,,,,,,,,,AUDI A3,2.0,4.0,Auto-S6,2WD,Gasoline,station wagon,7.0,22.0,29.0,25.0,7.0,yes
,,,,,,,,,,,,,AUDI A3,3.2,6.0,Auto-S6,4WD,Gasoline,station wagon,6.0,18.0,25.0,21.0,6.0,no
,,,,,,,,,,,,,AUDI A4,2.0,4.0,Auto-AV,2WD,Gasoline,small car,7.0,21.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,AUDI A4,3.1,6.0,Man-6,4WD,Gasoline,small car,6.0,15.0,25.0,19.0,5.0,no
,,,,,,,,,,,,,AUDI A4,3.1,6.0,Auto-S6,4WD,Gasoline,small car,6.0,17.0,25.0,20.0,6.0,no
,,,,,,,,,,,,,AUDI A4,3.1,6.0,Auto-AV,2WD,Gasoline,small car,6.0,18.0,27.0,21.0,6.0,no
,,,,,,,,,,,,,AUDI A4 Avant,3.1,6.0,Man-6,4WD,Gasoline,station wagon,6.0,15.0,25.0,19.0,5.0,no
,,,,,,,,,,,,,AUDI A4 Avant,3.1,6.0,Auto-S6,4WD,Gasoline,station wagon,6.0,17.0,25.0,20.0,6.0,no
,,,,,,,,,,,,,AUDI A4 Cabriolet,3.1,6.0,Auto-S6,4WD,Gasoline,small car,6.0,17.0,25.0,20.0,6.0,no
,,,,,,,,,,,,,AUDI A6,3.1,6.0,Auto-S6,4WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6.0,no
,,,,,,,,,,,,,AUDI A6,3.1,6.0,Auto-AV,2WD,Gasoline,midsize car,6.0,18.0,27.0,21.0,6.0,no
,,,,,,,,,,,,,AUDI A6,4.2,8.0,Auto-S6,4WD,Gasoline,midsize car,6.0,16.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,AUDI A6 Avant,3.1,6.0,Auto-S6,4WD,Gasoline,station wagon,6.0,17.0,25.0,20.0,6.0,no
,,,,,,,,,,,,,AUDI A8,4.2,8.0,Auto-S6,4WD,Gasoline,midsize car,6.0,16.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,AUDI A8 L,4.2,8.0,Auto-S6,4WD,Gasoline,large car,6.0,16.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,AUDI A8 L,6.0,12.0,Auto-S6,4WD,Gasoline,large car,6.0,13.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,AUDI Q7,3.6,6.0,Auto-S6,4WD,Gasoline,SUV,6.0,14.0,20.0,16.0,4.0,no
,,,,,,,,,,,,,AUDI Q7,4.2,8.0,Auto-S6,4WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2.0,no
,,,,,,,,,,,,,AUDI R8,4.2,8.0,Auto-S6,4WD,Gasoline,small car,6.0,13.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,AUDI R8,4.2,8.0,Man-6,4WD,Gasoline,small car,6.0,13.0,20.0,15.0,3.0,no
,,,,,,,,,,,,,AUDI RS4,4.2,8.0,Man-6,4WD,Gasoline,small car,6.0,13.0,20.0,15.0,3.0,no
,,,,,,,,,,,,,AUDI RS4 Cabriolet,4.2,8.0,Man-6,4WD,Gasoline,small car,6.0,12.0,19.0,14.0,2.0,no
,,,,,,,,,,,,,AUDI S4,4.2,8.0,Man-6,4WD,Gasoline,small car,6.0,13.0,20.0,15.0,3.0,no
,,,,,,,,,,,,,AUDI S4,4.2,8.0,Auto-S6,4WD,Gasoline,small car,6.0,14.0,21.0,16.0,4.0,no
,,,,,,,,,,,,,AUDI S4 Avant,4.2,8.0,Man-6,4WD,Gasoline,station wagon,6.0,13.0,20.0,15.0,3.0,no
,,,,,,,,,,,,,AUDI S4 Avant,4.2,8.0,Auto-S6,4WD,Gasoline,station wagon,6.0,14.0,21.0,16.0,4.0,no
,,,,,,,,,,,,,AUDI S4 Cabriolet,4.2,8.0,Man-6,4WD,Gasoline,small car,6.0,13.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,AUDI S4 Cabriolet,4.2,8.0,Auto-S6,4WD,Gasoline,small car,6.0,14.0,21.0,16.0,4.0,no
